Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
會	匣合一泰去?, 見合一泰去?	huì	wui⁶	회	hội	just
刃	日開三眞去	rèn	jan⁶	인	nhẫn	a blade; a knife. to kill.
短	端合一寒上	duǎn	dyun²	단	đoản	short; deficient.
滅	明三A仙入	miè	mit⁶	멸	diệt	to destroy by fire; to exterminate. to extinguish fire.
跡	精開三清入	jī	zik¹	적	tích	foot-prints; traces. to follow up.
走	精開一侯上?, 精開一侯去?	zǒu	zau²	주	tẩu	to walk; to go; to travel.
川	昌合三仙平	chuān	cyun¹	천	xuyên	a mountain stream; to flow.
盈	以開三清平	yíng	jing⁴	영	dềnh	to fill; to be full; abundant.
怨	影合三元平?, 影合三元去?	yuàn	jyun³	원	oán	to murmur against; resentment; grievance.
驕	見開三B宵平	jiāo	giu¹	교	kiêu	proud; arrogant; boastful.
易	以開三支去?, 以開三清入?	yì	ji⁶	역?, 이?	dịch	to change.
孔	溪一東上	kǒng	hung²	공	khổng	a hole. Great. The surname of Confucius.
經	見開四青平?, 見開四青去?	jīng	ging¹	경	kinh	to pass; the past; already: a particle of completed action. The "Canon" of Confucianism.
目	明三東入	mù	muk⁶	목	mục	the eye; to regard. an index.
恐	溪三鍾上?, 溪三鍾去?	kǒng	hung²	공	khủng	to fear.
真,眞	章開三眞平	zhēn	zan¹	진	chân	real; true; genuine.
囿	云三尤去?, 云三東入?	yòu	jau⁶	유		a park. to inclose.
里	來開三之上	lǐ	lei⁵	리?, 이?	lịa	a village; a place of residence. a measure of length (about 1/2 kilometer).
孽		niè	jit⁶		nghiệt	punishment for sin; misfortune.
活	見合一寒入?, 匣合一寒入?	huó	wut⁶	활	hoạt	to live; a livelihood; active.
犯	並三凡上	fàn	faan⁶	범	phạm	to transgress; to commit a crime.
蹈	定開一豪去	dǎo	dou⁶	도	dạo	to tread on; to trample on.
轍	澄開三仙入	zhé	cit³	철		a rut; the track of a wheel; a precedent.
酒	精三尤上	jiǔ	zau²	주		
饌	崇合二刪上?, 崇合三仙去?	zhuàn	zaan⁶	찬	soạn	victuals; dainties; to feed.
孝	曉開二肴去	xiào	haau³	효	hiếu	filial piety.
由	以三尤平	yóu	jau⁴	유	do	cause; motive; origin. from; by; because. to follow. a proper name.
肯	溪開一登上	kěn	hang²	긍	khẳng	to be willing; to assent.
澤	澄開二庚入	zé	zaak⁶	택	rạch	a marsh; moist. to fertilize; to show kindness.
惠	匣合四齊去	huì	wai⁶	혜	huệ	kind; gracious; favour.
卿	溪開三庚平	qīng	hing¹	경	khanh	a high official; a noble. Sir; you.
刺	清開三支去?, 清開三清入?	cì	ci³	자?, 척?	thích	a thorn. to prick; to stab.
刺客						an assassin.
說	書合三祭去?, 以合三仙入?, 書合三仙入?	shuō	syut³	설?, 세?, 열?		to speak; to talk.
說客						one with the gift of talk.
鼓	見一模上	gǔ	gu²	고		a drum; to drum; to beat; to excite.
鼓樂						instrumental music.
